system:index,NDVI,type
1_1_LT05_187023_19871113_00000000000000000002,,deciduous
1_1_LT05_187023_19871113_00000000000000000003,,grassland_mowed
1_1_LT05_187023_19871113_00000000000000000004,,fields_cultivated
1_1_LT05_187023_19871113_00000000000000000005,,fields_abandoned
1_1_LT05_187023_19871113_00000000000000000006,0.28090776517522115,wetlands
1_1_LT05_187023_19880304_00000000000000000000,,conifer_disturbed
1_1_LT05_187023_19880304_00000000000000000001,,conifer_not_disturbed
1_1_LT05_187023_19880304_00000000000000000002,,deciduous
1_1_LT05_187023_19880304_00000000000000000003,,grassland_mowed
1_1_LT05_187023_19880304_00000000000000000004,,fields_cultivated
1_1_LT05_187023_19880304_00000000000000000005,,fields_abandoned
1_1_LT05_187023_19880304_00000000000000000006,,wetlands
1_1_LT05_187023_19880405_00000000000000000000,,conifer_disturbed
1_1_LT05_187023_19880405_00000000000000000001,,conifer_not_disturbed
1_1_LT05_187023_19880405_00000000000000000002,,deciduous
1_1_LT05_187023_19880405_00000000000000000003,,grassland_mowed
1_1_LT05_187023_19880405_00000000000000000004,,fields_cultivated
1_1_LT05_187023_19880405_00000000000000000005,,fields_abandoned
1_1_LT05_187023_19880405_00000000000000000006,,wetlands
1_1_LT05_187023_19880421_00000000000000000000,,conifer_disturbed
1_1_LT05_187023_19880421_00000000000000000001,,conifer_not_disturbed
1_1_LT05_187023_19880421_00000000000000000002,,deciduous
1_1_LT05_187023_19880421_00000000000000000003,,grassland_mowed
1_1_LT05_187023_19880421_00000000000000000004,,fields_cultivated
1_1_LT05_187023_19880421_00000000000000000005,,fields_abandoned
1_1_LT05_187023_19880421_00000000000000000006,,wetlands
1_1_LT05_187023_19880811_00000000000000000000,,conifer_disturbed
1_1_LT05_187023_19880811_00000000000000000001,,conifer_not_disturbed
1_1_LT05_187023_19880811_00000000000000000002,,deciduous
1_1_LT05_187023_19880811_00000000000000000003,,grassland_mowed
1_1_LT05_187023_19880811_00000000000000000004,,fields_cultivated
1_1_LT05_187023_19880811_00000000000000000005,,fields_abandoned
1_1_LT05_187023_19880811_00000000000000000006,0.7634722365668971,wetlands
1_1_LT05_187023_19880928_00000000000000000000,,conifer_disturbed
1_1_LT05_187023_19880928_00000000000000000001,,conifer_not_disturbed
1_1_LT05_187023_19880928_00000000000000000002,,deciduous
1_1_LT05_187023_19880928_00000000000000000003,,grassland_mowed
1_1_LT05_187023_19880928_00000000000000000004,,fields_cultivated
1_1_LT05_187023_19880928_00000000000000000005,,fields_abandoned
1_1_LT05_187023_19880928_00000000000000000006,0.614484446826729,wetlands
1_1_LT05_187023_19881014_00000000000000000000,,conifer_disturbed
1_1_LT05_187023_19881014_00000000000000000001,,conifer_not_disturbed
1_1_LT05_187023_19881014_00000000000000000002,,deciduous
1_1_LT05_187023_19881014_00000000000000000003,,grassland_mowed
1_1_LT05_187023_19881014_00000000000000000004,,fields_cultivated
1_1_LT05_187023_19881014_00000000000000000005,,fields_abandoned
1_1_LT05_187023_19881014_00000000000000000006,0.4265335263038933,wetlands
1_1_LT05_187023_19881030_00000000000000000000,,conifer_disturbed
1_1_LT05_187023_19881030_00000000000000000001,,conifer_not_disturbed
1_1_LT05_187023_19881030_00000000000000000002,,deciduous
1_1_LT05_187023_19881030_00000000000000000003,,grassland_mowed
1_1_LT05_187023_19881030_00000000000000000004,,fields_cultivated
1_1_LT05_187023_19881030_00000000000000000005,,fields_abandoned
1_1_LT05_187023_19881030_00000000000000000006,0.2752794656057469,wetlands
1_1_LT05_187023_19890408_00000000000000000000,,conifer_disturbed
1_1_LT05_187023_19890408_00000000000000000001,,conifer_not_disturbed
1_1_LT05_187023_19890408_00000000000000000002,,deciduous
1_1_LT05_187023_19890408_00000000000000000003,,grassland_mowed
1_1_LT05_187023_19890408_00000000000000000004,,fields_cultivated
1_1_LT05_187023_19890408_00000000000000000005,,fields_abandoned
1_1_LT05_187023_19890408_00000000000000000006,,wetlands
1_1_LT05_187023_19890424_00000000000000000000,,conifer_disturbed
1_1_LT05_187023_19890424_00000000000000000001,,conifer_not_disturbed
1_1_LT05_187023_19890424_00000000000000000002,,deciduous
1_1_LT05_187023_19890424_00000000000000000003,,grassland_mowed
1_1_LT05_187023_19890424_00000000000000000004,,fields_cultivated
1_1_LT05_187023_19890424_00000000000000000005,,fields_abandoned
1_1_LT05_187023_19890424_00000000000000000006,,wetlands
1_1_LT05_187023_19890510_00000000000000000000,,conifer_disturbed
1_1_LT05_187023_19890510_00000000000000000001,,conifer_not_disturbed
1_1_LT05_187023_19890510_00000000000000000002,,deciduous
1_1_LT05_187023_19890510_00000000000000000003,,grassland_mowed
1_1_LT05_187023_19890510_00000000000000000004,,fields_cultivated
1_1_LT05_187023_19890510_00000000000000000005,,fields_abandoned
1_1_LT05_187023_19890510_00000000000000000006,0.5022927340201455,wetlands
1_1_LT05_187023_19890526_00000000000000000000,,conifer_disturbed
1_1_LT05_187023_19890526_00000000000000000001,,conifer_not_disturbed
1_1_LT05_187023_19890526_00000000000000000002,,deciduous
1_1_LT05_187023_19890526_00000000000000000003,,grassland_mowed
1_1_LT05_187023_19890526_00000000000000000004,,fields_cultivated
1_1_LT05_187023_19890526_00000000000000000005,,fields_abandoned
1_1_LT05_187023_19890526_00000000000000000006,0.6640374076869128,wetlands
1_1_LT05_187023_19890611_00000000000000000000,,conifer_disturbed
1_1_LT05_187023_19890611_00000000000000000001,,conifer_not_disturbed
1_1_LT05_187023_19890611_00000000000000000002,,deciduous
1_1_LT05_187023_19890611_00000000000000000003,,grassland_mowed
1_1_LT05_187023_19890611_00000000000000000004,,fields_cultivated
1_1_LT05_187023_19890611_00000000000000000005,,fields_abandoned
1_1_LT05_187023_19890611_00000000000000000006,,wetlands
1_1_LT05_187023_19890627_00000000000000000000,,conifer_disturbed
1_1_LT05_187023_19890627_00000000000000000001,,conifer_not_disturbed
1_1_LT05_187023_19890627_00000000000000000002,,deciduous
1_1_LT05_187023_19890627_00000000000000000003,,grassland_mowed
1_1_LT05_187023_19890627_00000000000000000004,,fields_cultivated
1_1_LT05_187023_19890627_00000000000000000005,,fields_abandoned
1_1_LT05_187023_19890627_00000000000000000006,0.7212711599621606,wetlands
1_1_LT05_187023_19891001_00000000000000000000,,conifer_disturbed
1_1_LT05_187023_19891001_00000000000000000001,,conifer_not_disturbed
1_1_LT05_187023_19891001_00000000000000000002,,deciduous
1_1_LT05_187023_19891001_00000000000000000003,,grassland_mowed
1_1_LT05_187023_19891001_00000000000000000004,,fields_cultivated
1_1_LT05_187023_19891001_00000000000000000005,,fields_abandoned
1_1_LT05_187023_19891001_00000000000000000006,0.5794029729300925,wetlands
1_1_LT05_187023_19900206_00000000000000000000,,conifer_disturbed
1_1_LT05_187023_19900206_00000000000000000001,,conifer_not_disturbed
1_1_LT05_187023_19900206_00000000000000000002,,deciduous
1_1_LT05_187023_19900206_00000000000000000003,,grassland_mowed
1_1_LT05_187023_19900206_00000000000000000004,,fields_cultivated
1_1_LT05_187023_19900206_00000000000000000005,,fields_abandoned
1_1_LT05_187023_19900206_00000000000000000006,0.14825768463714067,wetlands
1_1_LT05_187023_19900222_00000000000000000000,,conifer_disturbed
1_1_LT05_187023_19900222_00000000000000000001,,conifer_not_disturbed
1_1_LT05_187023_19900222_00000000000000000002,,deciduous
1_1_LT05_187023_19900222_00000000000000000003,,grassland_mowed
1_1_LT05_187023_19900222_00000000000000000004,,fields_cultivated
1_1_LT05_187023_19900222_00000000000000000005,,fields_abandoned
1_1_LT05_187023_19900222_00000000000000000006,0.2760769581324525,wetlands
1_1_LT05_187023_19900411_00000000000000000000,,conifer_disturbed
1_1_LT05_187023_19900411_00000000000000000001,,conifer_not_disturbed
1_1_LT05_187023_19900411_00000000000000000002,,deciduous
1_1_LT05_187023_19900411_00000000000000000003,,grassland_mowed
1_1_LT05_187023_19900411_00000000000000000004,,fields_cultivated
1_1_LT05_187023_19900411_00000000000000000005,,fields_abandoned
1_1_LT05_187023_19900411_00000000000000000006,0.3978353152217215,wetlands
1_1_LT05_187023_19900427_00000000000000000000,,conifer_disturbed
1_1_LT05_187023_19900427_00000000000000000001,,conifer_not_disturbed
1_1_LT05_187023_19900427_00000000000000000002,,deciduous
1_1_LT05_187023_19900427_00000000000000000003,,grassland_mowed
1_1_LT05_187023_19900427_00000000000000000004,,fields_cultivated
1_1_LT05_187023_19900427_00000000000000000005,,fields_abandoned
1_1_LT05_187023_19900427_00000000000000000006,,wetlands
1_1_LT05_187023_19900630_00000000000000000000,,conifer_disturbed
1_1_LT05_187023_19900630_00000000000000000001,,conifer_not_disturbed
1_1_LT05_187023_19900630_00000000000000000002,,deciduous
1_1_LT05_187023_19900630_00000000000000000003,,grassland_mowed
1_1_LT05_187023_19900630_00000000000000000004,,fields_cultivated
1_1_LT05_187023_19900630_00000000000000000005,,fields_abandoned
1_1_LT05_187023_19900630_00000000000000000006,0.7873186030947571,wetlands
1_1_LT05_187023_19900817_00000000000000000000,,conifer_disturbed
1_1_LT05_187023_19900817_00000000000000000001,,conifer_not_disturbed
1_1_LT05_187023_19900817_00000000000000000002,,deciduous
1_1_LT05_187023_19900817_00000000000000000003,,grassland_mowed
1_1_LT05_187023_19900817_00000000000000000004,,fields_cultivated
1_1_LT05_187023_19900817_00000000000000000005,,fields_abandoned
1_1_LT05_187023_19900817_00000000000000000006,0.760296257252714,wetlands
1_1_LT05_187023_19901004_00000000000000000000,,conifer_disturbed
1_1_LT05_187023_19901004_00000000000000000001,,conifer_not_disturbed
1_1_LT05_187023_19901004_00000000000000000002,,deciduous
1_1_LT05_187023_19901004_00000000000000000003,,grassland_mowed
1_1_LT05_187023_19901004_00000000000000000004,,fields_cultivated
1_1_LT05_187023_19901004_00000000000000000005,,fields_abandoned
1_1_LT05_187023_19901004_00000000000000000006,0.5030251823519806,wetlands
1_1_LT05_187023_19910329_00000000000000000000,,conifer_disturbed
1_1_LT05_187023_19910329_00000000000000000001,,conifer_not_disturbed
1_1_LT05_187023_19910329_00000000000000000002,,deciduous
1_1_LT05_187023_19910329_00000000000000000003,,grassland_mowed
1_1_LT05_187023_19910329_00000000000000000004,,fields_cultivated
1_1_LT05_187023_19910329_00000000000000000005,,fields_abandoned
1_1_LT05_187023_19910329_00000000000000000006,0.10242234050273163,wetlands
1_1_LT05_187023_19910414_00000000000000000000,,conifer_disturbed
1_1_LT05_187023_19910414_00000000000000000001,,conifer_not_disturbed
1_1_LT05_187023_19910414_00000000000000000002,,deciduous
1_1_LT05_187023_19910414_00000000000000000003,,grassland_mowed
1_1_LT05_187023_19910414_00000000000000000004,,fields_cultivated
1_1_LT05_187023_19910414_00000000000000000005,,fields_abandoned
1_1_LT05_187023_19910414_00000000000000000006,0.23027860181945872,wetlands
1_1_LT05_187023_19910516_00000000000000000000,,conifer_disturbed
1_1_LT05_187023_19910516_00000000000000000001,,conifer_not_disturbed
1_1_LT05_187023_19910516_00000000000000000002,,deciduous
1_1_LT05_187023_19910516_00000000000000000003,,grassland_mowed
1_1_LT05_187023_19910516_00000000000000000004,,fields_cultivated
1_1_LT05_187023_19910516_00000000000000000005,,fields_abandoned
1_1_LT05_187023_19910516_00000000000000000006,0.5744210514208258,wetlands
1_1_LT05_187023_19910601_00000000000000000000,,conifer_disturbed
1_1_LT05_187023_19910601_00000000000000000001,,conifer_not_disturbed
1_1_LT05_187023_19910601_00000000000000000002,,deciduous
1_1_LT05_187023_19910601_00000000000000000003,,grassland_mowed
1_1_LT05_187023_19910601_00000000000000000004,,fields_cultivated
1_1_LT05_187023_19910601_00000000000000000005,,fields_abandoned
1_1_LT05_187023_19910601_00000000000000000006,0.7132209030174422,wetlands
1_1_LT05_187023_19910905_00000000000000000000,,conifer_disturbed
1_1_LT05_187023_19910905_00000000000000000001,,conifer_not_disturbed
1_1_LT05_187023_19910905_00000000000000000002,,deciduous
1_1_LT05_187023_19910905_00000000000000000003,,grassland_mowed
1_1_LT05_187023_19910905_00000000000000000004,,fields_cultivated
1_1_LT05_187023_19910905_00000000000000000005,,fields_abandoned
1_1_LT05_187023_19910905_00000000000000000006,0.7373967709155199,wetlands
1_1_LT05_187023_19911007_00000000000000000000,,conifer_disturbed
1_1_LT05_187023_19911007_00000000000000000001,,conifer_not_disturbed
1_1_LT05_187023_19911007_00000000000000000002,,deciduous
1_1_LT05_187023_19911007_00000000000000000003,,grassland_mowed
1_1_LT05_187023_19911007_00000000000000000004,,fields_cultivated
1_1_LT05_187023_19911007_00000000000000000005,,fields_abandoned
1_1_LT05_187023_19911007_00000000000000000006,0.6089008213252097,wetlands
1_1_LT05_187023_19920331_00000000000000000000,,conifer_disturbed
1_1_LT05_187023_19920331_00000000000000000001,,conifer_not_disturbed
1_1_LT05_187023_19920331_00000000000000000002,,deciduous
1_1_LT05_187023_19920331_00000000000000000003,,grassland_mowed
1_1_LT05_187023_19920331_00000000000000000004,,fields_cultivated
1_1_LT05_187023_19920331_00000000000000000005,,fields_abandoned
1_1_LT05_187023_19920331_00000000000000000006,0.23151560299990392,wetlands
1_1_LT05_187023_19920502_00000000000000000000,,conifer_disturbed
1_1_LT05_187023_19920502_00000000000000000001,,conifer_not_disturbed
1_1_LT05_187023_19920502_00000000000000000002,,deciduous
1_1_LT05_187023_19920502_00000000000000000003,,grassland_mowed
1_1_LT05_187023_19920502_00000000000000000004,,fields_cultivated
1_1_LT05_187023_19920502_00000000000000000005,,fields_abandoned
1_1_LT05_187023_19920502_00000000000000000006,0.2082665833002453,wetlands
1_1_LT05_187023_19920603_00000000000000000000,,conifer_disturbed
1_1_LT05_187023_19920603_00000000000000000001,,conifer_not_disturbed
1_1_LT05_187023_19920603_00000000000000000002,,deciduous
1_1_LT05_187023_19920603_00000000000000000003,,grassland_mowed
1_1_LT05_187023_19920603_00000000000000000004,,fields_cultivated
1_1_LT05_187023_19920603_00000000000000000005,,fields_abandoned
1_1_LT05_187023_19920603_00000000000000000006,0.6402277647785386,wetlands
1_1_LT05_187023_19920619_00000000000000000000,,conifer_disturbed
1_1_LT05_187023_19920619_00000000000000000001,,conifer_not_disturbed
1_1_LT05_187023_19920619_00000000000000000002,,deciduous
1_1_LT05_187023_19920619_00000000000000000003,,grassland_mowed
1_1_LT05_187023_19920619_00000000000000000004,,fields_cultivated
1_1_LT05_187023_19920619_00000000000000000005,,fields_abandoned
1_1_LT05_187023_19920619_00000000000000000006,0.6531593286990688,wetlands
1_1_LT05_187023_19920705_00000000000000000000,,conifer_disturbed
1_1_LT05_187023_19920705_00000000000000000001,,conifer_not_disturbed
1_1_LT05_187023_19920705_00000000000000000002,,deciduous
1_1_LT05_187023_19920705_00000000000000000003,,grassland_mowed
1_1_LT05_187023_19920705_00000000000000000004,,fields_cultivated
1_1_LT05_187023_19920705_00000000000000000005,,fields_abandoned
1_1_LT05_187023_19920705_00000000000000000006,0.7419581488361016,wetlands
1_1_LT05_187023_19920721_00000000000000000000,,conifer_disturbed
1_1_LT05_187023_19920721_00000000000000000001,,conifer_not_disturbed
1_1_LT05_187023_19920721_00000000000000000002,,deciduous
1_1_LT05_187023_19920721_00000000000000000003,,grassland_mowed
1_1_LT05_187023_19920721_00000000000000000004,,fields_cultivated
1_1_LT05_187023_19920721_00000000000000000005,,fields_abandoned
1_1_LT05_187023_19920721_00000000000000000006,0.7543630198253705,wetlands
1_1_LT05_187023_19920806_00000000000000000000,,conifer_disturbed
1_1_LT05_187023_19920806_00000000000000000001,,conifer_not_disturbed
1_1_LT05_187023_19920806_00000000000000000002,,deciduous
1_1_LT05_187023_19920806_00000000000000000003,,grassland_mowed
1_1_LT05_187023_19920806_00000000000000000004,,fields_cultivated
1_1_LT05_187023_19920806_00000000000000000005,,fields_abandoned
1_1_LT05_187023_19920806_00000000000000000006,0.7737494953460518,wetlands
1_1_LT05_187023_19920907_00000000000000000000,,conifer_disturbed
1_1_LT05_187023_19920907_00000000000000000001,,conifer_not_disturbed
1_1_LT05_187023_19920907_00000000000000000002,,deciduous
1_1_LT05_187023_19920907_00000000000000000003,,grassland_mowed
1_1_LT05_187023_19920907_00000000000000000004,,fields_cultivated
1_1_LT05_187023_19920907_00000000000000000005,,fields_abandoned
1_1_LT05_187023_19920907_00000000000000000006,,wetlands
1_1_LT05_187023_19920923_00000000000000000000,,conifer_disturbed
1_1_LT05_187023_19920923_00000000000000000001,,conifer_not_disturbed
1_1_LT05_187023_19920923_00000000000000000002,,deciduous
1_1_LT05_187023_19920923_00000000000000000003,,grassland_mowed
1_1_LT05_187023_19920923_00000000000000000004,,fields_cultivated
1_1_LT05_187023_19920923_00000000000000000005,,fields_abandoned
1_1_LT05_187023_19920923_00000000000000000006,0.6673296801602134,wetlands
1_1_LT05_187023_19930129_00000000000000000000,,conifer_disturbed
1_1_LT05_187023_19930129_00000000000000000001,,conifer_not_disturbed
1_1_LT05_187023_19930129_00000000000000000002,,deciduous
1_1_LT05_187023_19930129_00000000000000000003,,grassland_mowed
1_1_LT05_187023_19930129_00000000000000000004,,fields_cultivated
1_1_LT05_187023_19930129_00000000000000000005,,fields_abandoned
1_1_LT05_187023_19930129_00000000000000000006,,wetlands
1_1_LT05_187023_19930521_00000000000000000000,,conifer_disturbed
1_1_LT05_187023_19930521_00000000000000000001,,conifer_not_disturbed
1_1_LT05_187023_19930521_00000000000000000002,,deciduous
1_1_LT05_187023_19930521_00000000000000000003,,grassland_mowed
1_1_LT05_187023_19930521_00000000000000000004,,fields_cultivated
1_1_LT05_187023_19930521_00000000000000000005,,fields_abandoned
1_1_LT05_187023_19930521_00000000000000000006,0.6748990949587292,wetlands
1_1_LT05_187023_19930825_00000000000000000000,,conifer_disturbed
